Entity,Code,Year,Renewables per capita (kWh)
Africa,,1965,0.120653
Africa,,1966,0.131249
Africa,,1967,0.1336
Africa,,1968,0.152359
Africa,,1969,0.173317
Africa,,1970,0.211175
Africa,,1971,0.194955
Africa,,1972,0.216209
Africa,,1973,0.222733
Africa,,1974,0.246655
Africa,,1975,0.253813
Africa,,1976,0.27366
Africa,,1977,0.29244
Africa,,1978,0.286792
Africa,,1979,0.298455
Africa,,1980,0.28291
Africa,,1981,0.285774
Africa,,1982,0.277992
Africa,,1983,0.243646
Africa,,1984,0.232932
Africa,,1985,0.251734
Africa,,1986,0.254996
Africa,,1987,0.237922
Africa,,1988,0.252341
Africa,,1989,0.257594
Africa,,1990,0.25568
Africa,,1991,0.263639
Africa,,1992,0.245312
Africa,,1993,0.23465
Africa,,1994,0.232019
Africa,,1995,0.235445
Africa,,1996,0.240183
Africa,,1997,0.240462
Africa,,1998,0.245892
Africa,,1999,0.254088
Africa,,2000,0.266152
Africa,,2001,0.277773
Africa,,2002,0.283219
Africa,,2003,0.268796
Africa,,2004,0.276158
Africa,,2005,0.272745
Africa,,2006,0.2758
Africa,,2007,0.274603
Africa,,2008,0.272145
Africa,,2009,0.271977
Africa,,2010,0.28542
Africa,,2011,0.285258
Africa,,2012,0.27908
Africa,,2013,0.288426
Africa,,2014,0.301105
Africa,,2015,0.298712
Africa,,2016,0.289087
Africa,,2017,0.303573
Africa,,2018,0.317342
Africa,,2019,0.337336
Algeria,DZA,1965,0.088528
Algeria,DZA,1966,0.076425
Algeria,DZA,1967,0.085792
Algeria,DZA,1968,0.114453
Algeria,DZA,1969,0.071311
Algeria,DZA,1970,0.11138
Algeria,DZA,1971,0.061637
Algeria,DZA,1972,0.089952
Algeria,DZA,1973,0.132966
Algeria,DZA,1974,0.085489
Algeria,DZA,1975,0.05486
Algeria,DZA,1976,0.063242
Algeria,DZA,1977,0.042497
Algeria,DZA,1978,0.038363
Algeria,DZA,1979,0.043347
Algeria,DZA,1980,0.037139
Algeria,DZA,1981,0.051285
Algeria,DZA,1982,0.065054
Algeria,DZA,1983,0.030934
Algeria,DZA,1984,0.05769
Algeria,DZA,1985,0.079995
Algeria,DZA,1986,0.03006
Algeria,DZA,1987,0.058304
Algeria,DZA,1988,0.020797
Algeria,DZA,1989,0.025005
Algeria,DZA,1990,0.014558
Algeria,DZA,1991,0.030829
Algeria,DZA,1992,0.020452
Algeria,DZA,1993,0.035481
Algeria,DZA,1994,0.016343
Algeria,DZA,1995,0.018642
Algeria,DZA,1996,0.012814
Algeria,DZA,1997,0.007004
Algeria,DZA,1998,0.01978
Algeria,DZA,1999,1530
Algeria,DZA,2000,1590
Algeria,DZA,2001,1670
Algeria,DZA,2002,1730
Algeria,DZA,2003,1930
Algeria,DZA,2004,2250
Algeria,DZA,2005,2710
Algeria,DZA,2006,3110
Algeria,DZA,2007,3600
Algeria,DZA,2008,4210
Algeria,DZA,2009,4290
Algeria,DZA,2010,4470
Algeria,DZA,2011,4600
Algeria,DZA,2012,5200
Algeria,DZA,2013,5520
Algeria,DZA,2014,5490
Algeria,DZA,2015,4850
Algeria,DZA,2016,4370
Algeria,DZA,2017,3950
Algeria,DZA,2018,3980
Algeria,DZA,2019,4010
Argentina,ARG,1965,0.153555
Argentina,ARG,1966,0.153251
Argentina,ARG,1967,0.154652
Argentina,ARG,1968,0.179606
Argentina,ARG,1969,0.158744
Argentina,ARG,1970,0.186404
Argentina,ARG,1971,0.182498
Argentina,ARG,1972,0.176714
Argentina,ARG,1973,0.33736
Argentina,ARG,1974,0.553992
Argentina,ARG,1975,0.56444
Argentina,ARG,1976,0.535483
Argentina,ARG,1977,0.606364
Argentina,ARG,1978,0.801291
Argentina,ARG,1979,1.086439
Argentina,ARG,1980,1.516517
Argentina,ARG,1981,1.446743
Argentina,ARG,1982,1.706404
Argentina,ARG,1983,1.761512
Argentina,ARG,1984,1.86612
Argentina,ARG,1985,1.907501
Argentina,ARG,1986,1.910675
Argentina,ARG,1987,1.955167
Argentina,ARG,1988,1.329212
Argentina,ARG,1989,1.130569
Argentina,ARG,1990,1.531382
Argentina,ARG,1991,1.370508
Argentina,ARG,1992,1.647076
Argentina,ARG,1993,1.934953
Argentina,ARG,1994,2.268221
Argentina,ARG,1995,2.278956
Argentina,ARG,1996,2.073223
Argentina,ARG,1997,2.608979
Argentina,ARG,1998,2.535551
Argentina,ARG,1999,7580
Argentina,ARG,2000,7470
Argentina,ARG,2001,7000
Argentina,ARG,2002,4040
Argentina,ARG,2003,3650
Argentina,ARG,2004,3370
Argentina,ARG,2005,4260
Argentina,ARG,2006,5480
Argentina,ARG,2007,6510
Argentina,ARG,2008,7670
Argentina,ARG,2009,7790
Argentina,ARG,2010,9270
Argentina,ARG,2011,10710
Argentina,ARG,2012,11870
Argentina,ARG,2013,12840
Argentina,ARG,2014,12330
Argentina,ARG,2015,12590
Argentina,ARG,2016,12220
Argentina,ARG,2017,13140
Argentina,ARG,2018,12430
Argentina,ARG,2019,11250
Australia,AUS,1965,1.960813
Australia,AUS,1966,1.827983
Australia,AUS,1967,1.843089
Australia,AUS,1968,1.871977
Australia,AUS,1969,1.989227
Australia,AUS,1970,2.265061
Australia,AUS,1971,2.508686
Australia,AUS,1972,2.481905
Australia,AUS,1973,2.61065
Australia,AUS,1974,2.920062
Australia,AUS,1975,3.10124
Australia,AUS,1976,2.917677
Australia,AUS,1977,2.754118
Australia,AUS,1978,2.939848
Australia,AUS,1979,2.826165
Australia,AUS,1980,2.637558
Australia,AUS,1981,2.682539
Australia,AUS,1982,2.463884
Australia,AUS,1983,2.2951
Australia,AUS,1984,2.443493
Australia,AUS,1985,2.553009
Australia,AUS,1986,2.527853
Australia,AUS,1987,2.417456
Australia,AUS,1988,2.543672
Australia,AUS,1989,2.503504
Australia,AUS,1990,2.541617
Australia,AUS,1991,2.646793
Australia,AUS,1992,2.653529
Australia,AUS,1993,2.69424
Australia,AUS,1994,2.632703
Australia,AUS,1995,2.544919
Australia,AUS,1996,2.588196
Australia,AUS,1997,2.566376
Australia,AUS,1998,2.530534
Australia,AUS,1999,21440
Australia,AUS,2000,21130
Australia,AUS,2001,20160
Australia,AUS,2002,20030
Australia,AUS,2003,21170
Australia,AUS,2004,25570
Australia,AUS,2005,30390
Australia,AUS,2006,34150
Australia,AUS,2007,37340
Australia,AUS,2008,42360
Australia,AUS,2009,44050
Australia,AUS,2010,46690
Australia,AUS,2011,50380
Australia,AUS,2012,60260
Australia,AUS,2013,66050
Australia,AUS,2014,65180
Australia,AUS,2015,60490
Australia,AUS,2016,54090
Australia,AUS,2017,51480
Australia,AUS,2018,53070
Australia,AUS,2019,54910
Austria,AUT,1965,6.115679
Austria,AUT,1966,6.54811
Austria,AUT,1967,6.646093
Austria,AUT,1968,6.789507
Austria,AUT,1969,6.209243
Austria,AUT,1970,7.868295
Austria,AUT,1971,6.188416
Austria,AUT,1972,6.334408
Austria,AUT,1973,7.014451
Austria,AUT,1974,8.272947
Austria,AUT,1975,8.653814
Austria,AUT,1976,7.47634
Austria,AUT,1977,9.064358
Austria,AUT,1978,9.082336
Austria,AUT,1979,10.245042
Austria,AUT,1980,10.625611
Austria,AUT,1981,11.267194
Austria,AUT,1982,11.289545
Austria,AUT,1983,11.182108
Austria,AUT,1984,9.804415
Austria,AUT,1985,11.226078
Austria,AUT,1986,11.727306
Austria,AUT,1987,13.197567
Austria,AUT,1988,13.183864
Austria,AUT,1989,13.076518
Austria,AUT,1990,11.751996
Austria,AUT,1991,11.685299
Austria,AUT,1992,12.844338
Austria,AUT,1993,13.412046
Austria,AUT,1994,12.91387
Austria,AUT,1995,13.549477
Austria,AUT,1996,12.422714
Austria,AUT,1997,13.103437
Austria,AUT,1998,13.510368
Austria,AUT,1999,14.634186
Austria,AUT,2000,14.976806
Austria,AUT,2001,14.443689
Austria,AUT,2002,14.173238
Austria,AUT,2003,11.794925
Austria,AUT,2004,13.130104
Austria,AUT,2005,13.438334
Austria,AUT,2006,13.530805
Austria,AUT,2007,14.271579
Austria,AUT,2008,14.717027
Austria,AUT,2009,15.515364
Austria,AUT,2010,14.657432
Austria,AUT,2011,13.239004
Austria,AUT,2012,16.215726
Austria,AUT,2013,15.696877
Austria,AUT,2014,15.518506
Austria,AUT,2015,14.689515
Austria,AUT,2016,15.358388
Austria,AUT,2017,15.106749
Austria,AUT,2018,14.624099
Austria,AUT,2019,15.679611
Azerbaijan,AZE,1985,0.546956
Azerbaijan,AZE,1986,0.329585
Azerbaijan,AZE,1987,0.324134
Azerbaijan,AZE,1988,0.276694
Azerbaijan,AZE,1989,0.272152
Azerbaijan,AZE,1990,0.635863
Azerbaijan,AZE,1991,0.664168
Azerbaijan,AZE,1992,0.649574
Azerbaijan,AZE,1993,0.888802
Azerbaijan,AZE,1994,0.661548
Azerbaijan,AZE,1995,0.555913
Azerbaijan,AZE,1996,0.543463
Azerbaijan,AZE,1997,0.599995
Azerbaijan,AZE,1998,0.678279
Azerbaijan,AZE,1999,0.519411
